item,domain_code,discrim,difficulty,item_label
TOM01,D1,1.674,0.216,Diverse_desires
TOM02,D1,1.877,-0.335,Diverse_beliefs
TOM03,D1,1.845,-0.120,Knowledge_access
TOM04,D1,1.129,-0.065,Content_false_belief
TOM05,D1,1.257,0.256,Explicit_false_belief
TOM06,D1,1.339,0.228,Belief_emotion
TOM07,D1,1.239,-0.006,Real_apparent_emotion_1
TOM08,D1,1.881,-0.243,Real_apparent_emotion_2
TOM09,D1,1.392,-0.242,Belief_desire_action
TOM10,D2,1.864,0.961,Novel_FB_action_prediction
TOM11,D2,1.208,0.762,Novel_FB_explanation
TOM12,D2,1.074,0.272,Intention_inference_1
TOM13,D2,1.665,0.670,Intention_inference_2
TOM14,D2,1.207,0.468,Nonliteral_communication_1
TOM15,D2,1.227,0.619,Nonliteral_communication_2
TOM16,D2,1.008,0.680,Social_norm_understanding
TOM17,D2,1.695,0.911,Deception_recognition
